method,route,function,framework,path
POST,/{request_id}/approve,,express,backend/app/api/service_requests.py
POST,/{request_id}/cancel,cancel_service_request,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/cancel,,express,backend/app/api/service_requests.py
POST,/{request_id}/complete,complete_service_request,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/complete,,express,backend/app/api/service_requests.py
GET,/{request_id}/deliverables,get_service_deliverables,fastapi,backend/app/api/service_requests.py
GET,/{request_id}/deliverables,,express,backend/app/api/service_requests.py
POST,/{request_id}/deliverables,create_service_deliverable,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/deliverables,,express,backend/app/api/service_requests.py
GET,/{request_id}/logs,get_service_request_logs,fastapi,backend/app/api/service_requests.py
GET,/{request_id}/logs,,express,backend/app/api/service_requests.py
POST,/{request_id}/logs,create_service_request_log,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/logs,,express,backend/app/api/service_requests.py
POST,/{request_id}/reject,reject_service_request,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/reject,,express,backend/app/api/service_requests.py
POST,/{request_id}/submit,submit_service_request,fastapi,backend/app/api/service_requests.py
POST,/{request_id}/submit,,express,backend/app/api/service_requests.py
DELETE,/{role_id},delete_role,fastapi,backend/app/api/roles.py
DELETE,/{role_id},,express,backend/app/api/roles.py
GET,/{role_id},get_role,fastapi,backend/app/api/roles.py
GET,/{role_id},,express,backend/app/api/roles.py
PUT,/{role_id},update_role,fastapi,backend/app/api/roles.py
PUT,/{role_id},,express,backend/app/api/roles.py
DELETE,/{service_id},delete_service,fastapi,backend/app/api/services.py
DELETE,/{service_id},,express,backend/app/api/services.py
GET,/{service_id},get_service,fastapi,backend/app/api/services.py
GET,/{service_id},,express,backend/app/api/services.py
PUT,/{service_id},update_service,fastapi,backend/app/api/services.py
PUT,/{service_id},,express,backend/app/api/services.py
DELETE,/{source_id},delete_source,fastapi,backend/app/api/sources.py
DELETE,/{source_id},,express,backend/app/api/sources.py
GET,/{source_id},get_source,fastapi,backend/app/api/sources.py
GET,/{source_id},,express,backend/app/api/sources.py
PUT,/{source_id},update_source,fastapi,backend/app/api/sources.py
PUT,/{source_id},,express,backend/app/api/sources.py
POST,/{source_id}/scan,scan_source,fastapi,backend/app/api/sources.py
POST,/{source_id}/scan,,express,backend/app/api/sources.py
POST,/{source_id}/test,test_source,fastapi,backend/app/api/sources.py
POST,/{source_id}/test,,express,backend/app/api/sources.py
